personId,season_year,personName,position,games_played,minutes_float,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,fg_percentage,three_pt_percentage,ft_percentage,avg_minutes,avg_points,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_fouls
203085,2015-16,Austin Rivers,G,67,1463.8333333333333,226,516,62,185,79,116,22,108,130,99,48,9,61,137,593,-162,0.437984496124031,0.33513513513513515,0.6810344827586207,21.84825870646766,8.850746268656716,1.9402985074626866,1.4776119402985075,0.7164179104477612,0.13432835820895522,0.9104477611940298,2.044776119402985
203085,2016-17,Austin Rivers,F/G,74,2053.766666666667,323,731,111,299,132,191,20,141,161,204,48,10,115,187,889,-6,0.4418604651162791,0.3712374581939799,0.6910994764397905,27.753603603603608,12.013513513513514,2.175675675675676,2.7567567567567566,0.6486486486486487,0.13513513513513514,1.554054054054054,2.527027027027027
203085,2017-18,Austin Rivers,G,61,2056.55,341,805,136,360,102,159,27,118,145,242,74,16,109,152,920,-64,0.4236024844720497,0.37777777777777777,0.6415094339622641,33.713934426229514,15.081967213114755,2.377049180327869,3.9672131147540983,1.2131147540983607,0.26229508196721313,1.7868852459016393,2.4918032786885247
203085,2018-19,Austin Rivers,G,76,2027.7333333333333,232,572,104,327,50,95,25,137,162,167,47,23,68,207,618,104,0.40559440559440557,0.3180428134556575,0.5263157894736842,26.680701754385964,8.131578947368421,2.1315789473684212,2.1973684210526314,0.618421052631579,0.3026315789473684,0.8947368421052632,2.723684210526316
203085,2019-20,Austin Rivers,G,68,1593.95,211,501,96,270,78,111,27,148,175,113,49,10,50,129,596,82,0.42115768463073855,0.35555555555555557,0.7027027027027027,23.44044117647059,8.764705882352942,2.573529411764706,1.661764705882353,0.7205882352941176,0.14705882352941177,0.7352941176470589,1.8970588235294117
203085,2020-21,Austin Rivers,G,36,844.9833333333333,104,245,55,149,22,31,8,74,82,81,30,2,36,64,285,10,0.42448979591836733,0.3691275167785235,0.7096774193548387,23.471759259259258,7.916666666666667,2.2777777777777777,2.25,0.8333333333333334,0.05555555555555555,1.0,1.7777777777777777
203085,2021-22,Austin Rivers,F/G,67,1479.8666666666668,146,350,79,231,32,44,19,95,114,90,51,6,54,121,403,53,0.41714285714285715,0.341991341991342,0.7272727272727273,22.08756218905473,6.014925373134329,1.7014925373134329,1.3432835820895523,0.7611940298507462,0.08955223880597014,0.8059701492537313,1.8059701492537314
203085,2022-23,Austin Rivers,G,52,1016.3333333333334,91,209,43,123,30,39,5,78,83,75,28,4,23,80,255,-142,0.4354066985645933,0.34959349593495936,0.7692307692307693,19.544871794871796,4.903846153846154,1.5961538461538463,1.4423076923076923,0.5384615384615384,0.07692307692307693,0.4423076923076923,1.5384615384615385
203086,2012-13,Meyers Leonard,C/F,69,1206.2833333333333,151,277,3,7,72,89,80,175,255,33,11,38,49,168,377,-152,0.5451263537906137,0.42857142857142855,0.8089887640449438,17.482367149758453,5.463768115942029,3.6956521739130435,0.4782608695652174,0.15942028985507245,0.5507246376811594,0.7101449275362319,2.4347826086956523
203086,2013-14,Meyers Leonard,N/A,40,355.2166666666667,41,91,0,6,16,21,26,85,111,18,7,5,15,76,98,-87,0.45054945054945056,0.0,0.7619047619047619,8.880416666666667,2.45,2.775,0.45,0.175,0.125,0.375,1.9
